seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
31871,2025,5025,A.J. Green,NA,SG,25,3,NBA,MIL,66,6,1495,164,388,0.423,138,333,0.414,26,55,0.473,0.601,20,24,0.833,16,134,150,97,36,6,37,144,486
31872,2025,5026,A.J. Lawson,NA,SG,24,3,NBA,TOR,19,2,329,51,134,0.381,24,76,0.316,27,58,0.466,0.47,22,34,0.647,13,44,57,16,6,4,8,29,148
31873,2025,5210,AJ Johnson,NA,SG,20,1,NBA,TOT,22,5,397,52,128,0.406,16,55,0.291,36,73,0.493,0.469,21,25,0.84,7,37,44,52,9,2,23,20,141
31874,2025,5210,AJ Johnson,NA,SG,20,1,NBA,MIL,7,0,44,8,19,0.421,3,5,0.6,5,14,0.357,0.5,1,2,0.5,0,7,7,7,1,0,4,0,20
31875,2025,5210,AJ Johnson,NA,SG,20,1,NBA,WAS,15,5,353,44,109,0.404,13,50,0.26,31,59,0.525,0.463,20,23,0.87,7,30,37,45,8,2,19,20,121
31876,2025,4219,Aaron Gordon,NA,PF,29,11,NBA,DEN,45,36,1230,220,417,0.528,67,146,0.459,153,271,0.565,0.608,119,149,0.799,69,150,219,139,20,10,62,71,626
31877,2025,4582,Aaron Holiday,NA,PG,28,7,NBA,HOU,56,3,714,102,236,0.432,61,158,0.386,41,78,0.526,0.561,33,40,0.825,12,58,70,70,18,10,33,58,298
31878,2025,4805,Aaron Nesmith,NA,SF,25,5,NBA,IND,39,31,974,163,323,0.505,71,168,0.423,92,155,0.594,0.615,60,65,0.923,29,121,150,50,29,16,34,102,457
31879,2025,4900,Aaron Wiggins,NA,SG,26,4,NBA,OKC,70,23,1588,321,654,0.491,120,308,0.39,201,346,0.581,0.583,57,69,0.826,76,188,264,119,55,18,59,90,819
31880,2025,5109,Adam Flagler,NA,SG,25,2,NBA,OKC,32,0,143,17,73,0.233,10,56,0.179,7,17,0.412,0.301,0,0,NA,7,12,19,8,7,3,3,12,44
31881,2025,5110,Adama Sanogo,NA,C,22,2,NBA,CHI,4,0,21,4,7,0.571,0,0,NA,4,7,0.571,0.571,0,0,NA,5,1,6,1,0,0,1,1,8
31882,2025,5211,Adem Bona,NA,C,21,1,NBA,PHI,51,4,684,90,130,0.692,0,0,NA,90,130,0.692,0.692,49,70,0.7,69,117,186,21,18,53,42,100,229
31883,2025,5212,Ajay Mitchell,NA,SG,22,1,NBA,OKC,34,1,561,84,166,0.506,22,51,0.431,62,115,0.539,0.572,28,33,0.848,17,50,67,57,24,3,28,59,218
31884,2025,3734,Al Horford,NA,C,38,18,NBA,BOS,57,40,1578,183,434,0.422,107,297,0.36,76,137,0.555,0.545,34,38,0.895,76,269,345,122,35,49,43,79,507
31885,2025,3982,Alec Burks,NA,SG,33,14,NBA,MIA,43,8,741,92,220,0.418,72,169,0.426,20,51,0.392,0.582,34,45,0.756,14,95,109,47,25,7,21,31,290
31886,2025,4465,Alex Caruso,NA,SG,30,8,NBA,OKC,50,2,958,127,284,0.447,56,158,0.354,71,126,0.563,0.546,35,43,0.814,35,108,143,128,78,28,36,91,345
31887,2025,5213,Alex Ducas,NA,SG,24,1,NBA,OKC,19,0,96,10,25,0.4,9,18,0.5,1,7,0.143,0.58,0,0,NA,6,13,19,3,5,0,4,7,29
31888,2025,4142,Alex Len,NA,C,31,12,NBA,TOT,45,6,367,30,59,0.508,2,8,0.25,28,51,0.549,0.525,8,17,0.471,38,55,93,37,9,20,17,50,70
31889,2025,4142,Alex Len,NA,C,31,12,NBA,SAC,36,3,258,22,41,0.537,1,6,0.167,21,35,0.6,0.549,7,13,0.538,25,39,64,30,8,18,11,35,52
31890,2025,4142,Alex Len,NA,C,31,12,NBA,LAL,9,3,109,8,18,0.444,1,2,0.5,7,16,0.438,0.472,1,4,0.25,13,16,29,7,1,2,6,15,18
31891,2025,5214,Alex Reese,NA,PF,25,1,NBA,TOT,12,0,183,21,44,0.477,11,32,0.344,10,12,0.833,0.602,6,8,0.75,8,31,39,3,9,8,5,17,59
31892,2025,5214,Alex Reese,NA,PF,25,1,NBA,OKC,1,0,2,1,1,1,0,0,NA,1,1,1,1,0,0,NA,1,0,1,0,0,0,0,0,2
31893,2025,5214,Alex Reese,NA,PF,25,1,NBA,PHI,11,0,181,20,43,0.465,11,32,0.344,9,11,0.818,0.593,6,8,0.75,7,31,38,3,9,8,5,17,57
31894,2025,5215,Alex Sarr,NA,C,19,1,NBA,WAS,60,60,1625,290,734,0.395,97,305,0.318,193,429,0.45,0.461,102,154,0.662,117,277,394,136,40,94,96,134,779
31895,2025,5028,Alondes Williams,NA,SG,25,3,NBA,DET,1,0,4,2,2,1,1,1,1,1,1,1,1.25,0,0,NA,0,0,0,1,0,0,0,0,5
31896,2025,4904,Alperen Şengün,NA,C,22,4,NBA,HOU,72,72,2276,536,1079,0.497,21,89,0.236,515,990,0.52,0.506,279,402,0.694,248,503,751,351,80,59,185,204,1372
31897,2025,5113,Amen Thompson,NA,SF,22,2,NBA,HOU,65,38,2105,365,659,0.554,23,86,0.267,342,573,0.597,0.571,163,239,0.682,183,357,540,242,92,82,132,154,916
31898,2025,4690,Amir Coffey,NA,SG,27,6,NBA,LAC,71,13,1744,240,510,0.471,101,247,0.409,139,263,0.529,0.57,115,129,0.891,32,128,160,77,40,7,44,119,696
31899,2025,4064,Andre Drummond,NA,C,31,13,NBA,PHI,40,23,751,117,234,0.5,3,20,0.15,114,214,0.533,0.506,56,90,0.622,109,201,310,34,39,18,55,94,293
31900,2025,5114,Andre Jackson Jr.,NA,SG,23,2,NBA,MIL,62,43,926,87,187,0.465,29,75,0.387,58,112,0.518,0.543,12,22,0.545,63,112,175,78,34,13,53,109,215
31901,2025,5029,Andrew Nembhard,NA,SG,25,3,NBA,IND,59,59,1719,227,487,0.466,49,157,0.312,178,330,0.539,0.516,102,129,0.791,30,166,196,300,72,11,106,136,605
31902,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,TOT,58,58,1791,367,816,0.45,127,338,0.376,240,478,0.502,0.528,193,250,0.772,84,174,258,150,57,49,96,99,1054
31903,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,GSW,43,43,1296,261,588,0.444,94,248,0.379,167,340,0.491,0.524,139,179,0.777,66,131,197,102,40,33,56,70,755
31904,2025,4223,Andrew Wiggins,NA,SF,29,11,NBA,MIA,15,15,495,106,228,0.465,33,90,0.367,73,138,0.529,0.537,54,71,0.761,18,43,61,48,17,16,40,29,299
31905,2025,4586,Anfernee Simons,NA,SG,25,7,NBA,POR,70,70,2292,479,1125,0.426,215,593,0.363,264,532,0.496,0.521,175,194,0.902,25,164,189,337,60,5,143,117,1348
31906,2025,5116,Anthony Black,NA,PG,21,2,NBA,ORL,72,9,1722,236,556,0.424,56,177,0.316,180,379,0.475,0.475,143,188,0.761,46,157,203,220,75,41,130,154,671
31907,2025,4066,Anthony Davis,NA,PF,31,13,NBA,TOT,47,47,1585,433,837,0.517,31,108,0.287,402,729,0.551,0.536,267,345,0.774,125,417,542,163,57,97,97,90,1164
31908,2025,4066,Anthony Davis,NA,C,31,13,NBA,LAL,42,42,1440,400,758,0.528,28,94,0.298,372,664,0.56,0.546,253,321,0.788,119,380,499,141,54,90,93,82,1081
31909,2025,4066,Anthony Davis,NA,PF,31,13,NBA,DAL,5,5,145,33,79,0.418,3,14,0.214,30,65,0.462,0.437,14,24,0.583,6,37,43,22,3,7,4,8,83
31910,2025,4808,Anthony Edwards,NA,SG,23,5,NBA,MIN,72,72,2603,645,1463,0.441,287,726,0.395,358,737,0.486,0.539,380,453,0.839,56,355,411,329,81,44,231,131,1957
31911,2025,4809,Anthony Gill,NA,PF,32,5,NBA,WAS,47,0,316,36,67,0.537,8,23,0.348,28,44,0.636,0.597,29,44,0.659,10,37,47,14,8,2,10,26,109
