season,lg,team,abbreviation,playoffs,g,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
2025,NBA,Atlanta Hawks,ATL,FALSE,74,17860,3198,6802,0.47,987,2773,0.356,2211,4029,0.549,1339,1729,0.774,882,2410,3292,2183,726,384,1151,1411,8722
2025,NBA,Boston Celtics,BOS,FALSE,75,18125,3125,6756,0.463,1344,3636,0.37,1781,3120,0.571,1172,1465,0.8,836,2544,3380,1956,545,414,885,1211,8766
2025,NBA,Brooklyn Nets,BRK,FALSE,76,18340,2861,6552,0.437,1029,2993,0.344,1832,3559,0.515,1245,1577,0.789,840,2303,3143,1902,590,336,1144,1567,7996
2025,NBA,Chicago Bulls,CHI,FALSE,75,18075,3229,6913,0.467,1171,3189,0.367,2058,3724,0.553,1172,1456,0.805,745,2660,3405,2176,566,354,1098,1337,8801
2025,NBA,Charlotte Hornets,CHO,FALSE,75,18075,2886,6721,0.429,991,2902,0.341,1895,3819,0.496,1155,1468,0.787,933,2466,3399,1839,570,347,1158,1418,7918
2025,NBA,Cleveland Cavaliers,CLE,FALSE,75,18025,3339,6785,0.492,1188,3097,0.384,2151,3688,0.583,1309,1668,0.785,824,2563,3387,2116,613,319,975,1368,9175
2025,NBA,Dallas Mavericks,DAL,FALSE,76,18290,3207,6708,0.478,965,2633,0.367,2242,4075,0.55,1352,1747,0.774,777,2499,3276,1922,597,410,1044,1371,8731
2025,NBA,Denver Nuggets,DEN,FALSE,75,18125,3417,6746,0.507,911,2392,0.381,2506,4354,0.576,1321,1716,0.77,847,2572,3419,2334,609,367,1071,1329,9066
2025,NBA,Detroit Pistons,DET,FALSE,75,18100,3203,6718,0.477,957,2633,0.363,2246,4085,0.55,1301,1673,0.778,856,2524,3380,1979,604,389,1131,1553,8664
2025,NBA,Golden State Warriors,GSW,FALSE,74,17785,3024,6713,0.45,1131,3131,0.361,1893,3582,0.528,1215,1610,0.755,929,2443,3372,2157,681,364,1036,1431,8394
